Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
112	S9WP	a long day at work they do n't want to Do n't want to be --UNCLEARWORD Do n't want to	be sat	in a car They certainly do n't want to be sat behind somebody at a traffic lights who stalls their	a_AT1 long_JJ day_NNT1 at_II work_NN1 they_PPHS2 do_VD0 n't_XX want_VVI to_TO Do_VD0 n't_XX want_VVI to_TO be_VBI --UNCLEARWORD_FU Do_VD0 n't_XX want_VVI to_TO	be_VBI sat_VVN	in_II a_AT1 car_NN1 They_PPHS2 certainly_RR do_VD0 n't_XX want_VVI to_TO be_VBI sat_VVN behind_II somebody_PN1 at_II a_AT1 traffic_NN1 lights_NN2 who_PNQS stalls_VVZ their_APPGE	Colleagues Complaining about Things they do not Like	Complaining	Original	Texts within Sample release	S0081 S0090	2	2012-04-05	0:22:19	Student accomodation, Salford	2012 Q2	2012	Colleagues	 Things I do not like	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=111	3323859	3323860
113	S9WP	n't want to be --UNCLEARWORD Do n't want to be sat in a car They certainly do n't want to	be sat	behind somebody at a traffic lights who stalls their car like three or four times because some instructor decides oh	n't_XX want_VVI to_TO be_VBI --UNCLEARWORD_FU Do_VD0 n't_XX want_VVI to_TO be_VBI sat_VVN in_II a_AT1 car_NN1 They_PPHS2 certainly_RR do_VD0 n't_XX want_VVI to_TO	be_VBI sat_VVN	behind_II somebody_PN1 at_II a_AT1 traffic_NN1 lights_NN2 who_PNQS stalls_VVZ their_APPGE car_NN1 like_II three_MC or_CC four_MC times_NNT2 because_CS some_DD instructor_NN1 decides_VVZ oh_UH	Colleagues Complaining about Things they do not Like	Complaining	Original	Texts within Sample release	S0081 S0090	2	2012-04-05	0:22:19	Student accomodation, Salford	2012 Q2	2012	Colleagues	 Things I do not like	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=112	3323870	3323871
114	S9X9	getting worried in case I 'm getting pompous in my er o- old age but actually I think yeah you	're sitting	there saying yes but er well there are words for things and the English language is a fantastically rich language	getting_VVG worried_JJ in_CS21 case_CS22 I_PPIS1 'm_VBM getting_VVG pompous_JJ in_II my_APPGE er_UH o-_FU old_JJ age_NN1 but_CCB actually_RR I_PPIS1 think_VV0 yeah_UH you_PPY	're_VBR sitting_VVG	there_RL saying_VVG yes_UH but_CCB er_UH well_RR there_EX are_VBR words_NN2 for_IF things_NN2 and_CC the_AT English_JJ language_NN1 is_VBZ a_AT1 fantastically_RR rich_JJ language_NN1	afternoon tea with a friend talking about the Arts	Discussing, explaining, inquiring,  anecdote telling	Revised	Texts within Sample release	S0282 S0284	2	2014-08-17	1:00:00	Tea shop in Hampshire	2014 Q3	2014	Friends, wider family circle	a play and an actor, a 'who do you think you are' story, family histories, women's careers, previous generations, language use, young people, organising a dance, singing and composers, going to college	T01	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=113	3346986	3346987
115	SA6K	means they 'll go oh shit I got lucky --UNCLEARWORD sat in a good seat --UNCLEARWORD yeah exactly --UNCLEARWORD you	're sitting	in the shit seat yeah exactly yeah certainly the engineering faculty here in --ANONplace university I mean they 've got	means_VVZ they_PPHS2 'll_VM go_VVI oh_UH shit_NN1 I_PPIS1 got_VVD lucky_JJ --UNCLEARWORD_FU sat_VVD in_II a_AT1 good_JJ seat_NN1 --UNCLEARWORD_FU yeah_UH exactly_RR --UNCLEARWORD_FU you_PPY	're_VBR sitting_VVG	in_II the_AT shit_NN1 seat_NN1 yeah_UH exactly_RR yeah_UH certainly_RR the_AT engineering_NN1 faculty_NN1 here_RL in_II --ANONplace_NP1 university_NN1 I_PPIS1 mean_VV0 they_PPHS2 've_VH0 got_VVN	A family having dinner together.	Discussing, explaining, inquiring, complaining, anecdote telling	Revised	Texts within Sample release	S0262 S0301 S0304	3	2014-10-26	0:44:15	At the family home in Harston, Cambridgeshire.	2014 Q4	2014	Close family, partners, very close friends	Discussing a film we’d been to see at the cinema, a recent debate held In Cambridge about how to teach history, politicians, discussion about the current national curriculum in England, talking about one’s education at school. Talking about how to organise Higher Education degrees, and linked to industry based experience.	T18	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=114	3440787	3440788
116	SA7J	got a picture of her ? no actually --UNCLEARWORD there was a wedding er just down the road --UNCLEARWORD he	was stood	up yeah and then sat down and then --UNCLEARWORD sorry no no I 'm okay who 's sitting there ?	got_VVD a_AT1 picture_NN1 of_IO her_PPHO1 ?_YQUE no_UH actually_RR --UNCLEARWORD_FU there_EX was_VBDZ a_AT1 wedding_NN1 er_UH just_RR down_II the_AT road_NN1 --UNCLEARWORD_FU he_PPHS1	was_VBDZ stood_VVN	up_RP yeah_UH and_CC then_RT sat_VVD down_RP and_CC then_RT --UNCLEARWORD_FU sorry_JJ no_UH no_UH I_PPIS1 'm_VBM okay_JJ who_PNQS 's_VBZ sitting_VVG there_RL ?_YQUE	Family talking whilst playing a group game around Christmas time.	Discussing, explaining, inquiring, complaining, advising requesting, announcing, making arrangements, apologising, telling jokes	Revised	Texts not in Sample release	S0543 S0561 S0563 S0564 S0565 S0566 S0568 S0569 S0639 S0640 S0665 S0691	12	2015-12-28	1:15:22	In ANON’s house.	2015 Q4	2015	Close family, partners, very close friends	Games, general game questions, alcohol, people, weather, songs, dogs, places, food, day-to-day arrangements/events, history, gender, gender norms, culture, 	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=115	3456149	3456150
117	SA7J	--UNCLEARWORD he was stood up yeah and then sat down and then --UNCLEARWORD sorry no no I 'm okay who	's sitting	there ? ah I 'm fine there darling yeah I know I know there was a wedding what --ANONnameF ?	--UNCLEARWORD_FU he_PPHS1 was_VBDZ stood_VVN up_RP yeah_UH and_CC then_RT sat_VVD down_RP and_CC then_RT --UNCLEARWORD_FU sorry_JJ no_UH no_UH I_PPIS1 'm_VBM okay_JJ who_PNQS	's_VBZ sitting_VVG	there_RL ?_YQUE ah_UH I_PPIS1 'm_VBM fine_JJ there_RL darling_NN1 yeah_UH I_PPIS1 know_VV0 I_PPIS1 know_VV0 there_EX was_VBDZ a_AT1 wedding_NN1 what_DDQ --ANONnameF_NP1 ?_YQUE	Family talking whilst playing a group game around Christmas time.	Discussing, explaining, inquiring, complaining, advising requesting, announcing, making arrangements, apologising, telling jokes	Revised	Texts not in Sample release	S0543 S0561 S0563 S0564 S0565 S0566 S0568 S0569 S0639 S0640 S0665 S0691	12	2015-12-28	1:15:22	In ANON’s house.	2015 Q4	2015	Close family, partners, very close friends	Games, general game questions, alcohol, people, weather, songs, dogs, places, food, day-to-day arrangements/events, history, gender, gender norms, culture, 	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=116	3456167	3456168
118	SAAB	approached for people from --UNCLEARWORD to help groovy mm yeah I think it 's this clapperboard stuff you know director	's sitting	in a stool and yeah no people like it yeah I think it 's getting a little bit more fashionable	approached_VVN for_IF people_NN from_II --UNCLEARWORD_FU to_TO help_VVI groovy_JJ mm_UH yeah_UH I_PPIS1 think_VV0 it_PPH1 's_VBZ this_DD1 clapperboard_NN1 stuff_NN1 you_PPY know_VV0 director_NN1	's_VBZ sitting_VVG	in_II a_AT1 stool_NN1 and_CC yeah_UH no_AT people_NN like_II it_PPH1 yeah_UH I_PPIS1 think_VV0 it_PPH1 's_VBZ getting_VVG a_AT1 little_NN1 bit_NN1 more_RGR fashionable_JJ	Midweek family dinner	Discussing, explaining, Inquiring, advising, annecdote telling, making arrangements	Revised	Texts not in Sample release	S0519 S0520 S0521	3	2015-09-15	0:47:53	Hunsonby, Cumbria	2015 Q3	2015	Close family, partners, very close friends	food, exercise, choir, family plans, family members, punctuality, school, teachers, philanthropy	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=117	3493936	3493937
119	SAQD	this little champagne bucket it 's a little a little er dachshund little sausage dog yeah but there it it	's sitting	in this bucket with its paws out ah that 's alright we ai n't got a car it 's run	this_DD1 little_JJ champagne_NN1 bucket_NN1 it_PPH1 's_VBZ a_AT1 little_JJ a_AT1 little_JJ er_UH dachshund_NN1 little_JJ sausage_NN1 dog_NN1 yeah_UH but_CCB there_RL it_PPH1 it_PPH1	's_VBZ sitting_VVG	in_II this_DD1 bucket_NN1 with_IW its_APPGE paws_NN2 out_RP ah_UH that_DD1 's_VBZ alright_JJ we_PPIS2 ai_FU n't_XX got_VVN a_AT1 car_NN1 it_PPH1 's_VHZ run_VVN	Catching up	Discussing, explaining, anecdote telling	Revised	Texts within Sample release	S0012 S0013 S0152 S0154	4	2014-11-08	1:39:01	ANON's home	2014 Q4	2014	Close family, partners, very close friends	Halloween, school, horse-riding, places	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=118	3556089	3556090
120	SAQD	in the --ANONplace --ANONplace and we saw them but I did n't know who they were and all these girls	were standing	round the stage going you di- and we were standing up the bar going whatever 's the matter with them	in_II the_AT --ANONplace_NP1 --ANONplace_NP1 and_CC we_PPIS2 saw_VVD them_PPHO2 but_CCB I_PPIS1 did_VDD n't_XX know_VVI who_PNQS they_PPHS2 were_VBDR and_CC all_DB these_DD2 girls_NN2	were_VBDR standing_VVG	round_II the_AT stage_NN1 going_VVG you_PPY di-_FU and_CC we_PPIS2 were_VBDR standing_VVG up_RP the_AT bar_NN1 going_VVG whatever_DDQV 's_VBZ the_AT matter_NN1 with_IW them_PPHO2	Catching up	Discussing, explaining, anecdote telling	Revised	Texts within Sample release	S0012 S0013 S0152 S0154	4	2014-11-08	1:39:01	ANON's home	2014 Q4	2014	Close family, partners, very close friends	Halloween, school, horse-riding, places	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=119	3558693	3558694
121	SAQD	did n't know who they were and all these girls were standing round the stage going you di- and we	were standing	up the bar going whatever 's the matter with them idiots ? to think if you could have just been	did_VDD n't_XX know_VVI who_PNQS they_PPHS2 were_VBDR and_CC all_DB these_DD2 girls_NN2 were_VBDR standing_VVG round_II the_AT stage_NN1 going_VVG you_PPY di-_FU and_CC we_PPIS2	were_VBDR standing_VVG	up_RP the_AT bar_NN1 going_VVG whatever_DDQV 's_VBZ the_AT matter_NN1 with_IW them_PPHO2 idiots_NN2 ?_YQUE to_TO think_VVI if_CSW you_PPY could_VM have_VHI just_RR been_VBN	Catching up	Discussing, explaining, anecdote telling	Revised	Texts within Sample release	S0012 S0013 S0152 S0154	4	2014-11-08	1:39:01	ANON's home	2014 Q4	2014	Close family, partners, very close friends	Halloween, school, horse-riding, places	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=120	3558703	3558704
122	SAQD	of her from --ANONnameF and I kept reading no yellow fo- folder on the top and I 'm thinking it	's sitting	in a yellow folder why has it got no yellow folder at the moment written on the top ? it	of_II33 her_PPHO1 from_II --ANONnameF_NP1 and_CC I_PPIS1 kept_VVD reading_VVG no_AT yellow_JJ fo-_FU folder_NN1 on_II the_AT top_NN1 and_CC I_PPIS1 'm_VBM thinking_VVG it_PPH1	's_VBZ sitting_VVG	in_II a_AT1 yellow_JJ folder_NN1 why_RRQ has_VHZ it_PPH1 got_VVN no_AT yellow_JJ folder_NN1 at_II the_AT moment_NN1 written_VVN on_II the_AT top_NN1 ?_YQUE it_PPH1	Catching up	Discussing, explaining, anecdote telling	Revised	Texts within Sample release	S0012 S0013 S0152 S0154	4	2014-11-08	1:39:01	ANON's home	2014 Q4	2014	Close family, partners, very close friends	Halloween, school, horse-riding, places	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=121	3562687	3562688
123	SAQD	in a yellow folder why has it got no yellow folder at the moment written on the top ? it	's sitting	in a yellow folder so I so she 's a bit like she says er there has been a change	in_II a_AT1 yellow_JJ folder_NN1 why_RRQ has_VHZ it_PPH1 got_VVN no_AT yellow_JJ folder_NN1 at_II the_AT moment_NN1 written_VVN on_II the_AT top_NN1 ?_YQUE it_PPH1	's_VBZ sitting_VVG	in_II a_AT1 yellow_JJ folder_NN1 so_RR I_PPIS1 so_RR she_PPHS1 's_VBZ a_RR21 bit_RR22 like_II she_PPHS1 says_VVZ er_UH there_EX has_VHZ been_VBN a_AT1 change_NN1	Catching up	Discussing, explaining, anecdote telling	Revised	Texts within Sample release	S0012 S0013 S0152 S0154	4	2014-11-08	1:39:01	ANON's home	2014 Q4	2014	Close family, partners, very close friends	Halloween, school, horse-riding, places	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=122	3562709	3562710
124	SAQD	change and she says that --ANONnameF 's moving quite nicely now and says and said some other things and --ANONnameF	is sitting	there and I went oh and she says but I 'm you know I 'm the form tutor and I	change_NN1 and_CC she_PPHS1 says_VVZ that_CST --ANONnameF_NP1 's_VBZ moving_VVG quite_RG nicely_RR now_RT and_CC says_VVZ and_CC said_VVD some_DD other_JJ things_NN2 and_CC --ANONnameF_NP1	is_VBZ sitting_VVG	there_RL and_CC I_PPIS1 went_VVD oh_UH and_CC she_PPHS1 says_VVZ but_CCB I_PPIS1 'm_VBM you_PPY know_VV0 I_PPIS1 'm_VBM the_AT form_NN1 tutor_NN1 and_CC I_PPIS1	Catching up	Discussing, explaining, anecdote telling	Revised	Texts within Sample release	S0012 S0013 S0152 S0154	4	2014-11-08	1:39:01	ANON's home	2014 Q4	2014	Close family, partners, very close friends	Halloween, school, horse-riding, places	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=123	3562750	3562751
125	SAQD	take one person out oh wow because would n't settle to what they were supposed to be doing and he	was sitting	in there you know and I kn- and I know the senior member of staff and it would be you	take_VVI one_MC1 person_NN1 out_RP oh_UH wow_UH because_CS would_VM n't_XX settle_VVI to_II what_DDQ they_PPHS2 were_VBDR supposed_JJ to_TO be_VBI doing_VDG and_CC he_PPHS1	was_VBDZ sitting_VVG	in_II there_RL you_PPY know_VV0 and_CC I_PPIS1 kn-_FU and_CC I_PPIS1 know_VV0 the_AT senior_JJ member_NN1 of_IO staff_NN and_CC it_PPH1 would_VM be_VBI you_PPY	Catching up	Discussing, explaining, anecdote telling	Revised	Texts within Sample release	S0012 S0013 S0152 S0154	4	2014-11-08	1:39:01	ANON's home	2014 Q4	2014	Close family, partners, very close friends	Halloween, school, horse-riding, places	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=124	3566357	3566358
126	SAUR	tastes good to me taste 's great you know erm do you want us to wait for you --ANONnameF we	're sitting	here --UNCLEARWORD no not at all no ? it 'll spoil you know in Korea they kinda add this hot	tastes_VVZ good_JJ to_II me_APPGE taste_NN1 's_VBZ great_JJ you_PPY know_VV0 erm_UH do_VD0 you_PPY want_VVI us_PPIO2 to_TO wait_VVI for_IF you_PPY --ANONnameF_NP1 we_PPIS2	're_VBR sitting_VVG	here_RL --UNCLEARWORD_FU no_UH not_XX at_RR21 all_RR22 no_UH ?_YQUE it_PPH1 'll_VM spoil_VVI you_PPY know_VV0 in_II Korea_NP1 they_PPHS2 kinda_RR add_VV0 this_DD1 hot_JJ	Eating and playing board games	Discussing, explaining, inquiring, complaining, advising, requesting, announcing, anecdote telling, telling jokes	Revised	Texts not in Sample release	S0189 S0190 S0192 S0227	4	2014-08-21	3:34:19	In Dad & ANON's house, Rushden	2014 Q3	2014	Close family, partners, very close friends	Food, board games, TV, books, family tress, history, playing games, instructions, rules	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=125	3623015	3623016
127	SAZX	I it no longer exists can you stop it ? so --UNCLEARWORD oi fuck off I mean oh the cat	's sitting	in the box ah that 's --UNCLEARWORD --ANONnameF 's in the box box cat oh oh no she wants to	I_PPIS1 it_PPH1 no_RR21 longer_RR22 exists_VVZ can_VM you_PPY stop_VVI it_PPH1 ?_YQUE so_RR --UNCLEARWORD_FU oi_UH fuck_VV0 off_RP I_PPIS1 mean_VV0 oh_UH the_AT cat_NN1	's_VBZ sitting_VVG	in_II the_AT box_NN1 ah_UH that_DD1 's_VBZ --UNCLEARWORD_FU --ANONnameF_NP1 's_VBZ in_II the_AT box_NN1 box_NN1 cat_NN1 oh_UH oh_UH no_UH she_PPHS1 wants_VVZ to_TO	Family speaking while playing trivial pursuit. 	Discussing, explaining, inquiring, complaining, requesting, telling jokes	Revised	Texts not in Sample release	S0592 S0593 S0594 S0600 S0601 S0602	6	2015-12-25	1:17:18	ANON/ANON/ANON/ANON/ANON’s house, Surrey	2015 Q4	2015	Close family, partners, very close friends	General trivia, arts and literature, geography, science, sports, history, internet.	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=126	3721334	3721335
128	SBCL	I 'm putting my --UNCLEARWORD or those things that that --UNCLEARWORD --UNCLEARWORD wanted to make a valid point while I	was standing	up you see an- antinomy antinomy as we 've now yeah antinomy is actually just if you flick the M	I_PPIS1 'm_VBM putting_VVG my_APPGE --UNCLEARWORD_FU or_CC those_DD2 things_NN2 that_CST that_DD1 --UNCLEARWORD_FU --UNCLEARWORD_FU wanted_VVD to_TO make_VVI a_AT1 valid_JJ point_NN1 while_CS I_PPIS1	was_VBDZ standing_VVG	up_RP you_PPY see_VV0 an-_FU antinomy_NN1 antinomy_NN1 as_CSA we_PPIS2 've_VH0 now_RT yeah_UH antinomy_NN1 is_VBZ actually_RR just_RR if_CS you_PPY flick_VV0 the_AT M_ZZ1	Diner table conversation	Discussing, explaining, inquiring, advising	Revised	Texts within Sample release	S0415 S0416 S0417	3	2015-05-23	0:32:42	Speakers' home Cork	2015 Q2	2015	Close family, partners, very close friends	Workplace Stress, Ways of Testing Levels of Stress, Age of Eligibility for Irish Present, Equality Vote (Gay Marriage) in Ireland, Awkward Silence, Being Recorded, Podcasts, Partnership, Chinese Takeaways, Quality of Chicken in a Curry, Using Words, Emotions and Facial Expressions, Windpipes, Accents, Bad Jokes, Suicide Squad (Marvel Movie), Pronouncing Words, Frequency of Words on Google.	T18	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=127	3870060	3870061
129	SBKH	n't it ? and that 's what --ANONnameM 's sister used to do in reception yeah I could like I	'm sitting	on the table oh --ANONnameM that would be so lovely and nobody could be tell me what to do cos	n't_XX it_PPH1 ?_YQUE and_CC that_DD1 's_VBZ what_DDQ --ANONnameM_NP1 's_GE sister_NN1 used_VMK to_TO do_VDI in_II reception_NN1 yeah_UH I_PPIS1 could_VM like_VVI I_PPIS1	'm_VBM sitting_VVG	on_II the_AT table_NN1 oh_UH --ANONnameM_NP1 that_CST would_VM be_VBI so_RG lovely_JJ and_CC nobody_PN1 could_VM be_VBI tell_VV0 me_PPIO1 what_DDQ to_TO do_VDI cos_CS	Family talking about Bikeability and growing up	Discussing, explaining, anecdote telling	Revised	Texts not in Sample release	S0653 S0654 S0655	3	2016-02-28	0:10:00	Home kitchen, Comberton	2016 Q1	2016	Close family, partners, very close friends	Bikeability in school, moving into different school years, basic maths, birthdays, sibling affection, being at the village college, helping with cleaning up	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=128	3918652	3918653
130	SBKN	there because her boyfriend was also playing the gig and I was just like I even bef- I like we	were standing	next to each other and before I had even worked out who she was and I was like oh long	there_RL because_CS her_APPGE boyfriend_NN1 was_VBDZ also_RR playing_VVG the_AT gig_NN1 and_CC I_PPIS1 was_VBDZ just_RR like_RR I_PPIS1 even_RR bef-_FU I_PPIS1 like_VV0 we_PPIS2	were_VBDR standing_VVG	next_II21 to_II22 each_PPX221 other_PPX222 and_CC before_CS I_PPIS1 had_VHD even_RR worked_VVN out_RP who_PNQS she_PPHS1 was_VBDZ and_CC I_PPIS1 was_VBDZ like_RR oh_UH long_JJ	Gathering of family and close friends talking over dinner and drinks.	Discussing, explaining, inquiring, anecdote telling, apologising	Revised	Texts not in Sample release	S0632 S0633 S0634 S0635 S0637 S0638	6	2016-01-23	1:25:31	Kitchen in cottage in Herefordshire (near Bromyard); speakers 1 and 2’s home.	2016 Q1	2016	Close family, partners, very close friends	Mishearing/spelling tourist/terrorist, the dinner, ANON’s deafness, ANON and ANON’s plumbing/home improvements, toilets/bathrooms, house sharing, ANON’s dream, smells, ANON’s Land Rover, recording conversations for evidence in arguments, food hygiene, ANON’s birthday, ANON’s work, memory, introducing yourself, meeting your hero/celebrities, watching TV, the Parish Newsletter, entering the Village Fete, the cake, ANON accidentally nearly stabbing ANON and apologising, Finchley, ANON’s electronics lab, ANON’s hurt foot, coffee, the 70s, gigs, theme-tune medley, Disney movies, the cinema, ANON & ANON’s laptop, ‘The Snowman’ and ‘The Snowman and the Snow Dog’, hamsters, pet fish, golden apple snail, our Russian friend ANON and his husband ANON, working from home, working and social media, managing expectations.	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=129	3932130	3932131
131	SBSJ	I think the conversations that we have are quite funny so when I l- when I played them back I	was sitting	in the office laughing to myself I was laughing about Dory swimming to Colchester and making me run in circles	I_PPIS1 think_VV0 the_AT conversations_NN2 that_CST we_PPIS2 have_VH0 are_VBR quite_RG funny_JJ so_RR when_CS I_PPIS1 l-_FU when_CS I_PPIS1 played_VVD them_PPHO2 back_RP I_PPIS1	was_VBDZ sitting_VVG	in_II the_AT office_NN1 laughing_VVG to_II myself_PPX1 I_PPIS1 was_VBDZ laughing_VVG about_II Dory_NP1 swimming_VVG to_II Colchester_NP1 and_CC making_VVG me_PPIO1 run_VVI in_II circles_NN2	Friends making dinner, chatting.	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements 	Original	Texts within Sample release	S0041 S0046 S0086	3	2012-03-14	0:39:06	ANON’s home, Cambridge	2012 Q1	2012	Friends, wider family circle	Food, family	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=130	4013209	4013210
132	SBSJ	it was really making me laugh and everyone at work was like what are you a laughing at cos I	was sat	there with my headphones on they ca n't hear what it is nothing nothing at all nothing to see here	it_PPH1 was_VBDZ really_RR making_VVG me_PPIO1 laugh_VVI and_CC everyone_PN1 at_II work_NN1 was_VBDZ like_RR what_DDQ are_VBR you_PPY a_AT1 laughing_JJ at_II cos_CS I_PPIS1	was_VBDZ sat_VVN	there_RL with_IW my_APPGE headphones_NN2 on_RP they_PPHS2 ca_VM n't_XX hear_VVI what_DDQ it_PPH1 is_VBZ nothing_PN1 nothing_PN1 at_RR21 all_RR22 nothing_PN1 to_TO see_VVI here_RL	Friends making dinner, chatting.	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements 	Original	Texts within Sample release	S0041 S0046 S0086	3	2012-03-14	0:39:06	ANON’s home, Cambridge	2012 Q1	2012	Friends, wider family circle	Food, family	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=131	4013256	4013257
133	SCZV	here when they phoned just a minute ago --UNCLEARWORD well not a minute ago oh your dad phoned yeah I	was sitting	in there yes we heard yeah yeah yeah I heard tell the children oh even have you noticed how it	here_RL when_CS they_PPHS2 phoned_VVD just_RR a_AT1 minute_NNT1 ago_RA --UNCLEARWORD_FU well_RR not_XX a_AT1 minute_NNT1 ago_RA oh_UH your_APPGE dad_NN1 phoned_VVD yeah_UH I_PPIS1	was_VBDZ sitting_VVG	in_II there_RL yes_UH we_PPIS2 heard_VVD yeah_UH yeah_UH yeah_UH I_PPIS1 heard_VVD tell_VV0 the_AT children_NN2 oh_UH even_RR have_VH0 you_PPY noticed_VVN how_RRQ it_PPH1	Afternoon Chat	Discussing, explaining, anecdote telling	Original	Texts within Sample release	S0012 S0013 S0024 S0144	4	2012-03-09	0:37:15	ANON's home, Norfolk	2012 Q1	2012	Close family, partners, very close friends	Technology, friends, relationships, the past, health	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=132	4366692	4366693
134	SD2R	a day does n't it yeah yeah yeah mm we got into the doctors and we sat there and everyone	was sitting	there oh it 's awful in the doc- ai n't it mm It 's just so so I just said	a_AT1 day_NNT1 does_VDZ n't_XX it_PPH1 yeah_UH yeah_UH yeah_UH mm_UH we_PPIS2 got_VVD into_II the_AT doctors_NN2 and_CC we_PPIS2 sat_VVD there_RL and_CC everyone_PN1	was_VBDZ sitting_VVG	there_RL oh_UH it_PPH1 's_VBZ awful_JJ in_II the_AT doc-_FU ai_FU n't_XX it_PPH1 mm_UH It_PPH1 's_VBZ just_RR so_RR so_RR I_PPIS1 just_RR said_VVD	ANON ANON and friend discussing schools and other topics.	Discussing, anecdote telling, telling jokes	Original	Texts within Sample release	S0012 S0013 S0152	3	2012-03-08	1:38:47	ANON's home, Norfolk	2012 Q1	2012	Friends, wider family circle	School, wardrobe, deliverymen, jokes, television programs, tweeting, binge drinking, health service, cleaning	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=133	4377097	4377098
135	SD65	it was it was lovely mm so I so I put my shorts on so I went into where they	were sitting	and I went right summer 's almost here got ta wear shorts next time you come round you got ta	it_PPH1 was_VBDZ it_PPH1 was_VBDZ lovely_JJ mm_UH so_RR I_PPIS1 so_RR I_PPIS1 put_VV0 my_APPGE shorts_NN2 on_RP so_RR I_PPIS1 went_VVD into_II where_RRQ they_PPHS2	were_VBDR sitting_VVG	and_CC I_PPIS1 went_VVD right_JJ summer_NNT1 's_VBZ almost_RR here_RL got_VVN ta_TO wear_VVI shorts_NN2 next_MD time_NNT1 you_PPY come_VV0 round_RP you_PPY got_VVI ta_AT1	Evening chat	Discussing, explaining, buying/selling	Revised	Texts not in Sample release	S0012 S0013 S0152	3	2015-03-21	1:08:24	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	School, moving house, good neighbours, politics, leg operations, photos	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=134	4424936	4424937
136	SDAB	does n't have any I do n't think he does darling how do you know that ? but he might	be sitting	at he might be sitting or going turn the DVD on Barbie Barbie playing in the sky la la la	does_VDZ n't_XX have_VHI any_DD I_PPIS1 do_VD0 n't_XX think_VVI he_PPHS1 does_VDZ darling_NN1 how_RRQ do_VD0 you_PPY know_VVI that_DD1 ?_YQUE but_CCB he_PPHS1 might_VM	be_VBI sitting_VVG	at_II he_PPHS1 might_VM be_VBI sitting_VVG or_CC going_VVG turn_VV0 the_AT DVD_NP1 on_II Barbie_NP1 Barbie_NP1 playing_VVG in_II the_AT sky_NN1 la_FU la_FU la_FU	Chinese New Year, hobbies	Discussing, explaining, anecdote telling	Revised	Texts not in Sample release	S0653 S0654 S0655	3	2016-02-08	0:36:00	Home kitchen, Comberton	2016 Q1	2016	Close family, partners, very close friends	Chinese New Year, drawing dragons, planets, Chinese food, school, piano playing, drum lessons, aerial hoop classes, Barbie and the Great Adventure	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=135	4503448	4503449
